Linux 7.2.0-1-cachyos (mystery) 	08/31/26 	_x86_64_	(24 CPU)

21:43:24     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
21:43:25     all   32.10    0.00   30.37    0.00    0.37   13.09    0.00    0.00    0.00   24.07
21:43:26     all   32.92    0.00   32.75    0.00    0.17   13.66    0.00    0.00    0.00   20.50
21:43:27     all   32.29    0.00   31.88    0.00    0.45   13.95    0.00    0.00    0.00   21.42
21:43:28     all   32.85    0.00   32.19    0.00    0.45   14.30    0.00    0.00    0.00   20.20
21:43:29     all   32.52    0.00   32.06    0.00    0.29   14.17    0.00    0.00    0.00   20.96
21:43:30     all   32.83    0.00   33.20    0.00    0.41   14.58    0.00    0.00    0.00   18.99
21:43:31     all   32.71    0.00   32.51    0.00    0.29   14.45    0.00    0.00    0.00   20.04
21:43:32     all   32.40    0.00   32.81    0.00    0.29   14.55    0.00    0.00    0.00   19.96
21:43:33     all   33.93    0.00   33.02    0.00    0.37   14.56    0.00    0.00    0.00   18.12
21:43:34     all   32.50    0.00   33.57    0.00    0.54   14.46    0.00    0.00    0.00   18.95
21:43:35     all   32.36    0.00   30.87    0.08    0.21   14.17    0.00    0.00    0.00   22.31
21:43:36     all   33.59    0.00   33.31    0.04    0.58   14.47    0.00    0.00    0.00   18.01
21:43:37     all   32.82    0.00   31.33    0.00    0.25   13.62    0.00    0.00    0.00   21.98
21:43:38     all   33.25    0.00   32.06    0.08    0.33   13.70    0.00    0.00    0.00   20.58
21:43:39     all   33.40    0.00   32.04    0.00    0.62   13.62    0.00    0.00    0.00   20.32
21:43:40     all   34.38    0.00   32.02    0.00    0.21   13.55    0.00    0.00    0.00   19.83
21:43:41     all   33.64    0.00   31.95    0.00    0.33   13.63    0.00    0.00    0.00   20.46
21:43:42     all   32.94    0.00   31.78    0.00    0.58   13.50    0.00    0.00    0.00   21.20
21:43:43     all   32.60    0.00   31.65    0.00    0.29   13.64    0.00    0.00    0.00   21.82
21:43:44     all   33.53    0.00   31.87    0.00    0.29   13.79    0.00    0.00    0.00   20.52
21:43:45     all   32.95    0.04   31.92    0.00    0.41   13.90    0.00    0.00    0.00   20.78
21:43:46     all   33.02    0.00   31.82    0.04    0.41   14.11    0.00    0.00    0.00   20.59
21:43:47     all   32.51    0.00   32.22    0.00    0.45   14.58    0.00    0.00    0.00   20.24
21:43:48     all   32.74    0.04   32.66    0.00    0.25   14.39    0.00    0.00    0.00   19.93
21:43:49     all   32.58    0.00   32.49    0.00    0.29   14.06    0.00    0.00    0.00   20.59
21:43:50     all   32.99    0.00   31.84    0.00    0.70   14.11    0.00    0.00    0.00   20.36
21:43:51     all   32.42    0.00   31.60    0.00    0.25   14.13    0.00    0.00    0.00   21.60
21:43:52     all   33.53    0.00   32.20    0.00    0.29   14.06    0.00    0.00    0.00   19.93
21:43:53     all   31.81    0.00   32.38    0.00    0.50   14.27    0.00    0.00    0.00   21.04
21:43:54     all   33.02    0.08   32.48    0.00    0.33   13.93    0.00    0.00    0.00   20.17
Average:     all   32.90    0.01   32.16    0.01    0.37   14.03    0.00    0.00    0.00   20.52
