Linux 7.2.0-1-cachyos (mystery) 	08/31/26 	_x86_64_	(24 CPU)

21:42:39     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
21:42:40     all   30.43    0.00   30.63    0.00    0.29   13.28    0.00    0.00    0.00   25.37
21:42:42     all   33.31    0.00   32.07    0.00    0.33   13.67    0.00    0.00    0.00   20.63
21:42:43     all   32.47    0.00   31.68    0.00    0.41   14.29    0.00    0.00    0.00   21.15
21:42:44     all   33.11    0.00   33.61    0.00    0.29   14.98    0.00    0.00    0.00   18.00
21:42:45     all   32.52    0.00   32.85    0.00    0.45   14.61    0.00    0.00    0.00   19.56
21:42:46     all   33.24    0.00   33.86    0.00    0.29   14.69    0.00    0.00    0.00   17.92
21:42:47     all   32.32    0.00   32.81    0.00    0.45   14.62    0.00    0.00    0.00   19.79
21:42:48     all   32.51    0.00   33.00    0.00    0.25   14.45    0.00    0.00    0.00   19.79
21:42:49     all   32.40    0.00   32.19    0.00    0.49   14.49    0.00    0.00    0.00   20.42
21:42:50     all   32.79    0.00   32.13    0.00    0.25   14.53    0.00    0.00    0.00   20.30
21:42:51     all   32.87    0.00   33.11    0.00    0.37   14.50    0.00    0.00    0.00   19.15
21:42:52     all   32.70    0.00   32.62    0.00    0.41   14.19    0.00    0.00    0.00   20.08
21:42:53     all   31.72    0.00   32.80    0.00    0.33   14.56    0.00    0.00    0.00   20.60
21:42:54     all   32.65    0.00   33.14    0.00    0.45   14.57    0.00    0.00    0.00   19.19
21:42:55     all   32.48    0.00   32.77    0.00    0.33   14.49    0.00    0.00    0.00   19.93
21:42:56     all   32.23    0.00   32.06    0.00    0.29   14.52    0.00    0.00    0.00   20.90
21:42:57     all   33.05    0.00   33.42    0.04    0.41   14.59    0.00    0.00    0.00   18.50
21:42:58     all   32.49    0.00   32.62    0.00    0.41   14.63    0.00    0.00    0.00   19.84
21:42:59     all   33.35    0.00   32.98    0.00    0.25   14.83    0.00    0.00    0.00   18.60
21:43:00     all   33.15    0.00   32.91    0.00    0.54   14.39    0.00    0.00    0.00   19.02
21:43:01     all   31.37    0.00   33.55    0.00    0.29   14.53    0.00    0.00    0.00   20.26
21:43:02     all   33.39    0.00   32.02    0.00    0.29   14.48    0.00    0.00    0.00   19.83
21:43:03     all   32.23    0.00   33.35    0.00    0.58   14.55    0.00    0.00    0.00   19.29
21:43:04     all   33.24    0.00   33.03    0.00    0.17   14.67    0.00    0.00    0.00   18.90
21:43:05     all   33.31    0.00   33.35    0.00    0.29   14.69    0.00    0.00    0.00   18.37
21:43:06     all   33.14    0.00   32.61    0.00    0.58   14.22    0.00    0.00    0.00   19.46
21:43:07     all   33.18    0.00   32.07    0.00    0.37   14.01    0.00    0.00    0.00   20.37
21:43:08     all   32.77    0.00   33.22    0.00    0.41   14.45    0.00    0.00    0.00   19.14
21:43:09     all   33.35    0.00   32.81    0.00    0.21   14.87    0.00    0.00    0.00   18.77
21:43:10     all   32.84    0.00   32.80    0.04    0.49   14.46    0.00    0.00    0.00   19.37
Average:     all   32.69    0.00   32.74    0.00    0.37   14.46    0.00    0.00    0.00   19.75
